district_name,population_2021
Accra Metropolitan,284124
Tema Metropolitan,177924
Ga South Municipal,350121
Weija Gbawe Municipal,213674
Ga Central Municipal,332232
Ga West Municipal,314299
Ga East Municipal,283379
Adenta Municipal,237546
Ga North Municipal,235292
Ledzokuku Municipal,217304
Ningo Prampram District,204673
Tema West Municipal,196224
Okaikoi North Municipal,160446
Ablekuma West Municipal,153490
Ablekuma Central Municipal,159208
Krobo Municipal,143012
La Dade-Kotopon Municipal,140264
Tema East Municipal,111733
Ablekuma South Municipal,110158
Ashaiman Municipal,208060
Kpone Katamanso Municipal,417334
Shai Osudoku District,106610
Ashiedu Keteke Municipal,88633
Okaikoi South Municipal,85333
Ada East District,76411
Ada West District,76087
Ayawaso West Municipal,75303
Korle Klottey Municipal,68633
Tema Central Municipal,66191
Ayawaso North Municipal,63386
Ayawaso East Municipal,53004
Ayawaso Central Municipal,94831
La Nkwantanang-Madina Municipal,244676
